"";"Var1";"Freq"
"850";"Galerella";1
"851";"Gelopellis";1
"852";"Geminago";1
"853";"Geopyxis";1
"854";"Geosmithia";1
"855";"Gerronema";1
"856";"Gibbera";1
"857";"Gibberella";1
"858";"Gliocladiopsis";1
"859";"Gloeocercospora";1
"860";"Gloeodontia";1
"861";"Gloeoheppia";1
"862";"Gloeopeniophorella";1
"863";"Gloeophyllum";1
"864";"Gloeoporus";1
"865";"Gnomoniella";1
"866";"Gonatophragmium";1
"867";"Gongronella";1
"868";"Grallomyces";1
"869";"Graphiopsis";1
"870";"Guedea";1
"871";"Guepinia";1
"872";"Gyalolechia";1
"873";"Gymnoascopsis";1
"874";"Gymnoascus";1
"875";"Hafellia";1
"876";"Hainesia";1
"877";"Haiyanga";1
"878";"Halbaniella";1
"879";"Halosphaeriopsis";1
"880";"Hamaspora";1
"881";"Hamigera";1
"882";"Hanseniaspora";1
"883";"Haplographium";1
"884";"Harknessia";1
"885";"Harposporium";1
"886";"Harzia";1
"887";"Hebeloma";1
"888";"Helicobasidium";1
"889";"Helicoma";1
"890";"Helicominopsis";1
"891";"Helicomyces";1
"892";"Helicoubisia";1
"893";"Hemicorynespora";1
"894";"Hemigrapha";1
"895";"Hemimycena";1
"896";"Hericium";1
"897";"Herpotrichia";1
"898";"Heteropera";1
"899";"Heterosporium";1
"900";"Hiospira";1
"901";"Histoplasma";1
"902";"Hortaea";1
"903";"Humaria";1
"904";"Huntiella";1
"905";"Hyaloderma";1
"906";"Hyalopus";1
"907";"Hyalosphaera";1
"908";"Hydea";1
"909";"Hydrophilomyces";1
"910";"Hymenochaete";1
"911";"Hymenopellis";1
"912";"Hymenoscyphus";1
"913";"Hymenula";1
"914";"Hyperphyscia";1
"915";"Hyphodiscosia";1
"916";"Hypocreopsis";1
"917";"Hysterium";1
"918";"Hysterobrevium";1
"919";"Idiocercus";1
"920";"Ileodictyon";1
"921";"Ilyonectria";1
"922";"Imleria";1
"923";"Infundibulicybe";1
"924";"Intercalarispora";1
"925";"Irpex";1
"926";"Itajahya";1
"927";"Ithyphallus";1
"928";"Julella";1
"929";"Juxtiphoma";1
"930";"Kalchbrennera";1
"931";"Kernkampella";1
"932";"Kiflimonium";1
"933";"Kiliophora";1
"934";"Kochiella";1
"935";"Koordersiella";1
"936";"Kweilingia";1
"937";"Kylindria";1
"938";"Lactocollybia";1
"939";"Lamproderma";1
"940";"Langdonia";1
"941";"Langermannia";1
"942";"Lasiobertia";1
"943";"Lasiodiplodia";1
"944";"Latorua";1
"945";"Lecanactis";1
"946";"Lecanographa";1
"947";"Leiosphaerella";1
"948";"Leiotrametes";1
"949";"Lembosiella";1
"950";"Lepista";1
"951";"Leptographium";1
"952";"Leptoporus";1
"953";"Leptosphaerulina";1
"954";"Letrouitia";1
"955";"Leucodermia";1
"956";"Leucopaxillus";1
"957";"Licea";1
"958";"Lignosus";1
"959";"Linderina";1
"960";"Lindtneria";1
"961";"Loflammia";1
"962";"Lunulospora";1
"963";"Lycogalopsis";1
"964";"Lyophyllum";1
"965";"Lyromma";1
"966";"Macbrideola";1
"967";"Macrovalsaria";1
"968";"Madurella";1
"969";"Massaria";1
"970";"Massarina";1
"971";"Masseeella";1
"972";"Matsusporium";1
"973";"Medicopsis";1
"974";"Megacollybia";1
"975";"Megalocystidium";1
"976";"Megalodochium";1
"977";"Mehtamyces";1
"978";"Melampsora";1
"979";"Melanconiopsis";1
"980";"Melanocarpus";1
"981";"Melanomma";1
"982";"Melanophyllum";1
"983";"Meliolina";1
"984";"Meliolinella";1
"985";"Melioliphila";1
"986";"Melomastia";1
"987";"Meripilus";1
"988";"Merulius";1
"989";"Mesniera";1
"990";"Metacordyceps";1
"991";"Metapochonia";1
"992";"Metasphaeria";1
"993";"Metraria";1
"994";"Metulocladosporiella";1
"995";"Microbotryum";1
"996";"Microcyclus";1
"997";"Microdothella";1
"998";"Microidium";1
"999";"Microphyma";1
"1000";"Microsphaeropsis";1
"1001";"Microthecium";1
"1002";"Microthyriella";1
"1003";"Miladina";1
"1004";"Miyoshiella";1
"1005";"Moesziomyces";1
"1006";"Monascus";1
"1007";"Monilia";1
"1008";"Monilochaetes";1
"1009";"Monodictys";1
"1010";"Monoicomyces";1
"1011";"Mononema";1
"1012";"Montagnula";1
"1013";"Morganella";1
"1014";"Mortierella";1
"1015";"Mucronella";1
"1016";"Musicillium";1
"1017";"Mycoamaranthus";1
"1018";"Mycogala";1
"1019";"Mycogone";1
"1020";"Mycoleptodiscus";1
"1021";"Mycomedusa";1
"1022";"Myriangium";1
"1023";"Myriogenospora";1
"1024";"Naemacyclus";1
"1025";"Naemosphaera";1
"1026";"Nakataea";1
"1027";"Nalanthamala";1
"1028";"Nanoscypha";1
"1029";"Narasimhania";1
"1030";"Navisporus";1
"1031";"Nemania";1
"1032";"Neocordana";1
"1033";"Neodeightonia";1
"1034";"Neofusicoccum";1
"1035";"Neohelicosporium";1
"1036";"Neolentinus";1
"1037";"Neomelanconium";1
"1038";"Neonothopanus";1
"1039";"Neopestalotiopsis";1
"1040";"Neopodoconis";1
"1041";"Neoscytalidium";1
"1042";"Newinia";1
"1043";"Nigrocornus";1
"1044";"Nigrofomes";1
"1045";"Nigrograna";1
"1046";"Nitschkia";1
"1047";"Nothopassalora";1
"1048";"Nummularia";1
"1049";"Oceanitis";1
"1050";"Ochroconis";1
"1051";"Ochrolechia";1
"1052";"Odontiopsis";1
"1053";"Oehlia";1
"1054";"Oidiodendron";1
"1055";"Olivea";1
"1056";"Omphalia";1
"1057";"Oothecium";1
"1058";"Oothyrium";1
"1059";"Ophiodothella";1
"1060";"Ophiodothis";1
