;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6776;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Abelmoschus esculentus;Malvaceae;IMI309510;Nigeria;1986;James, A.T.
6777;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. anthophilum;(A. Braun) Wollenw.;;;Associated organism: Saccharum officinarum;Gramineae;IMI79034;Nigeria;1959;Harris, E.
6778;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. intermedium;Neish & M. Legg.;;;Substratum: seed. Associated organism: Pinus caribaea;Pinaceae;IMI319431;Nigeria;1987;Bola Adegeyz
6779;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. intermedium;Neish & M. Legg.;;;Associated organism: Amaranthus cruentus;Amaranthaceae;IMI332107;Nigeria;1989;Adebanjo, A.
6780;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. intermedium;Neish & M. Legg.;;;Associated organism: Amaranthus cruentus;Amaranthaceae;IMI332114;Nigeria;1989;Adebanjo, A.
6781;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. intermedium;Neish & M. Legg.;;;Substratum: seed. Associated organism: Amaranthus cruentus;Amaranthaceae;IMI332113;Nigeria;1989;Adebanjo, A.
6782;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Substratum: seed. Associated organism: Cola;Sterculiaceae;IMI117637;Nigeria;;Adebayo, A.A.
6783;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Associated organism: Lycopersicon esculentum;Solanaceae;IMI295629;Nigeria;1985;Akinwande 
6784;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;Substratum: seed. Associated organism: Arachis hypogaea;Leguminosae;IMI111944;Nigeria;;McDonald, D.
6785;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme var. subglutinans;Wollenw. & Reinking;;;;;IMI245258;Nigeria;1980;Ohanenye, B.O.
